Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2018-01-02,78.87036895751953,79.20071662443635,78.4574378743574,79.03554279097794,22483800
2018-01-03,79.2374267578125,79.38425106217161,78.88872953641184,78.97131295688773,26061400
2018-01-04,79.93482971191406,80.43952951647438,79.43930817679164,79.45765771469915,21912000
2018-01-05,80.92585754394531,81.12773742775576,80.22845621831836,80.43951436983846,23407100
2018-01-08,81.00845336914062,81.283745434897,80.38446408759849,80.93504121814318,22113000
2018-01-09,80.9533920288086,81.42138570709598,80.62304437366073,81.34797356129256,19484300
2018-01-10,80.58634185791016,80.9258677965123,80.21011684575393,80.6230479324321,18652200
2018-01-11,80.82491302490234,80.8707903589186,80.05409960318352,80.8707903589186,17808900
2018-01-12,82.21969604492188,82.3848698242922,81.16441951010955,81.36629935166945,24271500
2018-01-16,81.07267761230469,83.31169894475336,80.76068650911022,82.67853146937172,36599700
2018-01-17,82.71524047851562,82.84370823156674,81.43973421538863,81.74255406228086,25621200
2018-01-18,82.67852783203125,83.20157707099777,82.27477506924615,82.40324281208235,24159700
2018-01-19,82.58677673339844,83.14653211355778,82.27478560398126,82.71524449268408,36875000
2018-01-22,84.06415557861328,84.07333384660362,82.34818351471458,82.58676947569296,23601600
2018-01-23,84.33029174804688,84.69734555454255,83.99994402229767,84.33029174804688,23412800
2018-01-24,84.25686645507812,85.73425272026924,84.03663700589122,84.92674007260527,33277500
2018-01-25,84.72484588623047,85.55988619923644,84.35779219878054,84.85331362669292,26383200
2018-01-26,86.31233978271484,86.31233978271484,84.95425029273008,85.4497717015515,29172200
2018-01-29,86.18389892578125,87.58787318815608,86.00037553237398,87.30340982808421,31569900
2018-01-30,85.1010971069336,85.94532294893189,84.51381382613326,85.61497522836058,38635100
2018-01-31,87.1841049194336,87.54198037402911,85.80765870915316,86.02788814252715,48756300
2018-02-01,86.49586486816406,88.15677406285691,85.87187576171584,86.98220798035814,47227900
2018-02-02,84.22013854980469,86.22975188051711,83.96320309219081,85.92693209077241,47867800
2018-02-05,80.7514877319336,85.55986981388295,80.7514877319336,83.10061968019,51031500
2018-02-06,83.80720520019531,83.9448511917385,78.22800941724392,79.73292305592652,67998600
2018-02-07,82.22889709472656,84.21097599540016,81.85266510376105,83.03640968374656,41107600
2018-02-08,78.0078125,82.4766709452531,77.77840475226523,82.32067535702599,55628700
2018-02-09,80.91667175292969,81.60489474685879,76.92497978833416,79.19152863516194,63499100
2018-02-12,81.78843688964844,82.38489835510062,80.6872826464813,81.43056141057072,35720300
2018-02-13,82.43075561523438,82.5867511315845,80.56796668208759,81.6048867037254,26407700
2018-02-14,83.72147369384766,83.8874233824261,81.50882055793865,81.60101326629272,34960900
2018-02-15,85.42706298828125,85.4823772016912,83.54630235996963,84.09024421543977,27823900
2018-02-16,84.818603515625,86.20151552946672,84.63421806065448,85.23347430623582,30596900
2018-02-20,85.48241424560547,85.79587096923487,83.90589517556626,84.33920879199354,30911700
2018-02-21,84.34839630126953,86.07242883418127,84.34839630126953,85.72209371916226,26922500
2018-02-22,84.5696792602539,85.49162056806333,84.22855844417698,84.86470019739876,24392800
2018-02-23,86.71778106689453,86.72700244774025,85.15048394805056,86.2936889880762,26329200
2018-02-26,87.97163391113281,87.99929102369545,86.89296431806788,87.03125691473474,30199800
2018-02-27,86.84688568115234,88.35886916442374,86.84688568115234,88.2666764220497,25869100
2018-02-28,86.450439453125,88.2390079676159,86.32136822361066,87.43691644090148,31167300
2018-03-01,85.60224914550781,87.18798932261987,84.67108645381221,86.65326167520227,37135600
2018-03-02,85.78665924072266,85.87885198379271,83.76760510836796,84.43140411264103,32830400
2018-03-05,86.33058166503906,86.9114021444224,85.05830521950013,85.13205517682782,23901600
2018-03-06,86.03556823730469,87.11423795045299,85.68523304942059,86.97594533839064,22175800
2018-03-07,86.53341674804688,86.60717374508762,85.21504031982467,85.88806060857631,26716100
2018-03-08,87.05892181396484,87.67662082929051,86.45043714774843,86.91140782196537,25887800
2018-03-09,89.00420379638672,89.00420379638672,87.58441351223134,87.85177730280473,36937300
2018-03-12,89.21627044677734,89.62192693299728,88.54325713157245,88.96734935177739,26073700
2018-03-13,87.04046630859375,89.64955438621637,86.6348099566039,89.42829048233676,35387800
2018-03-14,86.52420043945312,87.96243383068014,86.20152235079331,87.69506997611778,32132000
2018-03-15,86.82843780517578,87.19721575696182,85.58381837252045,86.22917451275525,27611000
2018-03-16,87.21562957763672,87.93474253433274,86.5887093272615,87.28938655623442,49081300
2018-03-19,85.63912963867188,86.5702923520782,84.9200165262042,86.42277836292885,33344100
2018-03-20,85.86038208007812,86.4504238898798,85.74053225534921,85.78663212924282,23075200
2018-03-21,85.2611312866211,86.70857879139378,85.01220320609984,85.67600204235166,24457100
2018-03-22,82.7811050415039,84.58810903346983,82.66125521211785,84.14557414199594,38604700
2018-03-23,80.37482452392578,83.39879017432537,80.28263182167747,82.51372757180737,44068900
2018-03-26,86.45964813232422,86.66247633000248,83.34348928158158,83.53709609740535,56396800
2018-03-27,82.48606872558594,87.71347290862451,81.6010061417264,87.529087508015,56569000
2018-03-28,82.41233825683594,84.1087140302022,81.93293184075567,82.80877332611274,52501100
2018-03-29,84.14556121826172,85.08594508051719,81.49959475927469,83.14064879412366,45867500
2018-04-02,81.61023712158203,83.7860190547251,80.67908151471123,83.40802679627886,48515400
2018-04-03,82.70735931396484,83.02082303682084,81.02942630485408,82.58750946826208,37213800
2018-04-04,85.12285614013672,85.51929124673045,80.88192685829891,80.9925553311171,35560000
2018-04-05,85.16893005371094,85.80507176637856,84.26543156861413,85.22425131167347,29771900
2018-04-06,83.18675994873047,85.24268494453987,82.49530402896569,84.34840082956089,38026000
2018-04-09,83.68460845947266,85.89726897972238,83.54632289196333,83.93353654869722,31533900
2018-04-10,85.6299057006836,85.99868362869844,84.4867004543061,85.17815643163873,26812000
2018-04-11,84.68952178955078,86.00789802729926,84.33918665500383,84.82781438055862,24872100
2018-04-12,86.2752685546875,86.8099961968903,85.21503465276233,85.21503465276233,26758900
2018-04-13,85.81430053710938,86.82843459159642,85.22425864963131,86.7085847510898,23346100
2018-04-16,86.81919860839844,87.27095484772526,86.12774272836879,86.72700589783175,20288100
2018-04-17,88.57090759277344,89.00422116433192,87.47379510596403,87.584430603124,26771000
2018-04-18,88.91201782226562,89.17016025097598,88.06382651297695,88.70918961860646,21043300
2018-04-19,88.6077880859375,89.49285098157216,87.89788927243008,88.91203043458353,23552500
2018-04-20,87.58443450927734,88.60779004362044,86.7085929777265,88.42340457398494,31154400
2018-04-23,87.90709686279297,88.77372388943512,87.24329803675673,88.26665338792034,22331800
2018-04-24,85.8511734008789,88.93967524163949,85.19659594471828,88.72762565512232,34524800
2018-04-25,85.1043930053711,86.01711989082281,83.23285342696254,86.01711989082281,33729300
2018-04-26,86.90217590332031,87.72270297482723,85.83272077910514,86.24759852233463,42529000
2018-04-27,88.34042358398438,90.25806336060775,86.57951918916967,89.98147813045559,48272800
2018-04-30,86.21994018554688,88.8751354127014,85.87882643428568,88.81059980836658,41523600
